হাউস ১/ডি/৪, ৭/এ, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৯, হাজী আফসার উদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৪/বি, তিন মাজার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৯, মিতালি রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২/১/এ, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৬/৬/সি, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯৫/২, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১/এ, হায়দার হোটেল গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭৩/৪, রায়ের বাজার স্টাফ কোয়ার্টার রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯৫/কেএ,  টালি অফিস রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১/৭/এ, শিকদার রিয়েল এস্টেট রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪২/৯, হাজী আব্দুল হাই রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৬/১, , টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২১, মনেশ্বর রোড লেন ১২২২, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২০/এফ, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৪/২/এ(বি), তুলাগাঁস্তলা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০৫, রায়ের বাজার স্টাফ কোয়ার্টার রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
